"mon_feature_id","sample_begin_date","sample_begin_time","sample_begin_depth","result_num_value","mon_feature_name"
88506,1994-05-16,"07:22:00",0,1,"ZKOHA06 HAMELFONTEIN D/S MINES ON KLEIN OLIFANTS"
88506,1994-08-08,"06:55:00",0,1,"ZKOHA06 HAMELFONTEIN D/S MINES ON KLEIN OLIFANTS"
88521,1993-11-15,"11:18:00",0,4,"ZKOVA01 KLEIN OLIFANTS RIVER AT VAALBANK 177 JS (CULVERT"
88521,1994-02-15,"06:35:00",0,6,"ZKOVA01 KLEIN OLIFANTS RIVER AT VAALBANK 177 JS (CULVERT"
88521,1994-05-17,"07:58:00",0,1,"ZKOVA01 KLEIN OLIFANTS RIVER AT VAALBANK 177 JS (CULVERT"
88521,1994-08-09,"07:55:00",0,1,"ZKOVA01 KLEIN OLIFANTS RIVER AT VAALBANK 177 JS (CULVERT"
88574,1993-11-15,"09:08:00",0,15,"ZMOBO01 MOOIFONTEIN SPRUIT AT BOSCHFONTEIN 447 JS BRIDGE"
88574,1994-02-14,"07:15:00",0,9,"ZMOBO01 MOOIFONTEIN SPRUIT AT BOSCHFONTEIN 447 JS BRIDGE"
88574,1994-05-16,"07:55:00",0,2,"ZMOBO01 MOOIFONTEIN SPRUIT AT BOSCHFONTEIN 447 JS BRIDGE"
88574,1994-08-08,"07:10:00",0,2,"ZMOBO01 MOOIFONTEIN SPRUIT AT BOSCHFONTEIN 447 JS BRIDGE"
88587,1993-11-15,"11:20:00",0,4,"ZNRRI02 RIETKUIL U/S KWAGGA & D/S ARNOT PS ON NORTHERN TRIB OF RIETK KUILSPRUIT"
88587,1994-02-15,"10:40:00",0,1,"ZNRRI02 RIETKUIL U/S KWAGGA & D/S ARNOT PS ON NORTHERN TRIB OF RIETK KUILSPRUIT"
88587,1994-05-17,"11:20:00",0,3,"ZNRRI02 RIETKUIL U/S KWAGGA & D/S ARNOT PS ON NORTHERN TRIB OF RIETK KUILSPRUIT"
88587,1994-08-09,"11:30:00",0,1,"ZNRRI02 RIETKUIL U/S KWAGGA & D/S ARNOT PS ON NORTHERN TRIB OF RIETK KUILSPRUIT"
88681,1993-11-15,"11:53:00",0,126,"ZBOBO02 BOSMANSPAN SPRUIT AT BOSCHMANSFONTEIN 182 JS"
88681,1994-02-15,"05:55:00",0,3,"ZBOBO02 BOSMANSPAN SPRUIT AT BOSCHMANSFONTEIN 182 JS"
88681,1994-05-16,"13:48:00",0,5,"ZBOBO02 BOSMANSPAN SPRUIT AT BOSCHMANSFONTEIN 182 JS"
88681,1994-08-08,"07:20:00",0,2,"ZBOBO02 BOSMANSPAN SPRUIT AT BOSCHMANSFONTEIN 182 JS"
88714,1993-11-15,"08:38:00",0,1,"ZCOWO01 WOESTALLEEN AT R65 BRIDGE D/S EIKEBOOM ON COETZERSPRUIT"
88714,1994-02-14,"11:10:00",0,4,"ZCOWO01 WOESTALLEEN AT R65 BRIDGE D/S EIKEBOOM ON COETZERSPRUIT"
88738,1994-06-21,"16:50:00",0,18,"ZDWR01B DOUGLAS WEIR - 150M UP/STR OF WALL (SEE C9R003Q01"
88739,1994-08-17,"09:32:00",0,2,"ZDWR02B DOUGLAS WEIR AT MILFORD (2,5KM UP/STR OF WALL)"
88744,1994-08-17,"10:22:00",0,3,"ZDWR07B RIET RIVER AT PICTON"
88745,1994-06-21,"15:05:00",0,12,"ZDWR08B RIET RIVER AT DE KALK (UP/STR OF CLIFFS)"
88745,1994-08-17,"10:35:00",0,3,"ZDWR08B RIET RIVER AT DE KALK (UP/STR OF CLIFFS)"
88747,1994-06-21,"14:40:00",0,8,"ZDWR10B VAAL RIVER - 2KM UP/STR RIET CONFLUENCE"
88749,1994-06-21,"14:05:00",0,8,"ZDWR12B VAAL RIVER - 300M UP/STR OF ISLAND"
88749,1994-08-17,"11:27:00",0,2,"ZDWR12B VAAL RIVER - 300M UP/STR OF ISLAND"
88751,1994-06-21,"13:25:00",0,9,"ZDWR14B VAAL RIVER AT BRUINKOPPIES (VAALLUS IRR. SCHEME)"
88752,1994-08-17,"12:32:00",0,1,"ZDWR15B VAAL RIVER AT OLIE RIVIER 170 (VAALLUS IRR. S.)"
88752,2003-05-02,"12:00:00",0,7.91,"ZDWR15B VAAL RIVER AT OLIE RIVIER 170 (VAALLUS IRR. S.)"
